source,target,weight
76561198120037344,76561198354183616,1.0
76561198001100736,76561198273060320,1.0
76561198116477360,76561199031443984,1.0
76561198092661920,76561198419185760,1.0
76561198042291776,76561198317262496,1.0
76561198002178704,76561198128182448,1.0
76561198140459440,76561199439054976,1.0
76561198096244480,76561198204143888,1.0
76561198149244224,76561199215293952,1.0
76561198152106816,76561199441408768,1.0
76561198075730160,76561198264061280,1.0
76561198084829296,76561198220261312,1.0
76561198082652768,76561198281791984,1.0
76561198037085952,76561198076657424,1.0
76561198018541520,76561198146706032,1.0
76561198131097792,76561199197982112,1.0
76561198204968512,76561198819277696,1.0
76561198162148144,76561198427072096,1.0
76561198009914640,76561198148122560,1.0
76561198079207168,76561199031443984,1.0
76561198097125472,76561198252343168,1.0
76561198129380736,76561198198227232,1.0
76561198074573376,76561198129386272,1.0
76561198311962704,76561198354414704,1.0
76561198064101520,76561198074126736,1.0
76561198218885936,76561198346800368,1.0
76561198113625888,76561198293668368,1.0
76561198075730160,76561198119459824,1.0
76561198280182304,76561199029134240,1.0
76561198003519808,76561198207636256,1.0
76561198040157664,76561198819814272,1.0
76561198099329232,76561198349613536,1.0
76561198140937312,76561198287677184,1.0
76561198048697456,76561198116364576,1.0
76561198013471472,76561198066876320,1.0
76561198094608736,76561198107124832,1.0
76561198136626576,76561198184620976,1.0
76561198062038272,76561198349613536,1.0
76561198112384000,76561199439054976,1.0
76561198114794496,76561198131873584,1.0
76561198040157664,76561198347475200,1.0
76561198193234128,76561198303927568,1.0
76561198085011808,76561198165343776,1.0
76561197997213680,76561198131873584,1.0
76561197967075760,76561198096354240,1.0
76561198170974336,76561198354934896,1.0
76561198092189104,76561198399564912,1.0
76561198065837584,76561198196418096,1.0
76561198267889536,76561198317262496,1.0
76561198165334304,76561198310807616,1.0
76561198138721232,76561198346202880,1.0
76561198128718144,76561198239166016,1.0
76561198167097744,76561199015041104,1.0
76561198077291968,76561198110224816,1.0
76561198156550416,76561198178518336,1.0
76561198085018192,76561198274581664,1.0
76561198012516160,76561198078166112,1.0
76561198042645712,76561198073826752,1.0
76561198157492512,76561198930826304,1.0
76561198074573376,76561198144024272,1.0
76561198141985936,76561198320990048,1.0
76561198151311728,76561198166519664,1.0
76561198072274032,76561198193016752,1.0
76561198005994544,76561198014962544,1.0
76561197973049536,76561198185109024,1.0
76561198076835776,76561198196068976,1.0
76561198047614016,76561198056922912,1.0
76561198075730160,76561198378193040,1.0
76561198081924544,76561198125982848,1.0
76561198203499456,76561198208032416,1.0
76561197996423856,76561198338144880,1.0
76561198141985936,76561198142022688,1.0
76561198103677536,76561198239166016,1.0
76561198058904112,76561198206161808,1.0
76561198074780112,76561198131135056,1.0
76561198105504976,76561199439046256,1.0
76561198107559024,76561198308643456,1.0
76561198091572480,76561198157492512,1.0
76561198142022688,76561198278732720,1.0
76561198267889536,76561198305887648,1.0
76561198303927568,76561198819814272,1.0
76561198190046752,76561198277347152,1.0
76561198035219552,76561198076657424,1.0
76561198257791712,76561198833987536,1.0
76561197995262352,76561198327636736,1.0
76561198093671808,76561198151311728,1.0
76561198117151904,76561198123069488,1.0
76561198012516160,76561198027542976,1.0
76561198121828912,76561198193208384,1.0
76561198064066160,76561198136741328,1.0
76561198082780160,76561198090688512,1.0
76561198030183056,76561198354942096,1.0
76561198136626576,76561198293668368,1.0
76561198066735248,76561198081066464,1.0
76561198078166112,76561198273353712,1.0
76561198166650000,76561199203331680,1.0
76561198276221120,76561198318081104,1.0
76561198074673296,76561198309019440,1.0
76561198117151904,76561198127644112,1.0
76561198042291776,76561198110181824,1.0
76561198204968512,76561198252936800,1.0
76561198099984256,76561198138576720,1.0
76561198046175136,76561198166679888,1.0
76561197991333408,76561198046562144,1.0
76561198219690144,76561198250571328,1.0
76561197994419072,76561198131135056,1.0
76561198237236848,76561198308643456,1.0
76561198150226832,76561198276059744,1.0
76561198127342560,76561198278732720,1.0
76561198278732720,76561199090065296,1.0
76561198042663536,76561198054588848,1.0
76561198261190560,76561198833987536,1.0
76561198061377664,76561198093810736,1.0
76561198012635536,76561198267271216,1.0
76561198073826752,76561198328944400,1.0
76561198041112896,76561198050868112,1.0
76561198130409536,76561198284961328,1.0
76561198047718720,76561198177393360,1.0
76561198116980096,76561198254739488,1.0
76561197964241680,76561198027542976,1.0
76561198050868112,76561198131835472,1.0
76561198067558048,76561199418876032,1.0
76561198089395072,76561198137240368,1.0
76561198095988128,76561198199434192,1.0
76561198092577648,76561198139949936,1.0
76561198061377664,76561198152562992,1.0
76561198072882064,76561198136626576,1.0
76561198202386304,76561198831176800,1.0
76561198074852896,76561198112834208,1.0
76561198075730160,76561198165343776,1.0
76561198078393632,76561198162148144,1.0
76561198061911360,76561198303927568,1.0
76561198077886336,76561198078393632,1.0
76561198091406304,76561198152562992,1.0
76561198076835776,76561198100664960,1.0
76561198047718720,76561198419185760,1.0
76561198049994000,76561198104009408,1.0
76561198112155440,76561198127644112,1.0
